内容总时长:2小时34分钟[00:05 - 00:06] 喂喂喂。

[00:07 - 00:11] 但是聪宝要来的嘛，喂喂喂喂。

[00:13 - 00:17] 冲过来怎么搞啊，让他也手机连麦。

[00:18 - 00:20] 但这个没法三方连着吗？这个观众连麦。

[00:21 - 00:23] 你不能当转接头。

[00:23 - 00:31] 我我我应该当不了吧，那只能那个那就继续那个呗，就继续那个呃腾讯会议呗。

[00:32 - 00:33] 啊，行啊，那也行啊。

[00:33 - 00:35] 没问题啊，腾腾讯会议不就完了吗。

[00:37 - 00:37] 啊。

[00:37 - 00:55] 可以在冲在冲宝来之前，你怎么说，我们几乎就是我们两个几乎是就是在这一波疯狂上涨的6天当中，我们两个好像是基本上是啥子都没吃到，就是基本上是被被甩下车了。

[00:55 - 00:58] 小就是小吃等于输嘛。

[00:58 - 01:01] 对，就基本上输了，就。是已经被甩下车了，说白了。

[01:02 - 01:08] 然后放量咱们就贴见蜥蜴了，就一放量，咱就怕了，就跑了。

[01:08 - 01:16] 我有一个疑问哈，你说我害怕，我是因为一朝被蛇咬，十年怕井绳，你作为一个新股民，你在怕啥呢？

[01:18 - 01:20] 呃，你可能有所不知。

[01:20 - 01:20] 嗯。

[01:21 - 01:26] 最近我的老登股们已经开始上涨了，我有了底气。

[01:27 - 01:27] 嗯。

[01:29 - 01:40] 而且哥们儿现在已经转战期货了，今天期货又赚了5000，怎么说怎么说？现在跟你们这些炒股票的就是没有没有很多的共同语言。

[01:40 - 01:44] 只能说现在已经去T加零的市场搅动风云了。

[01:44 - 01:47] 股股票股票有点慢，股票有点慢，不太行。

[01:47 - 01:49] 太慢了，感觉。

[01:49 - 01:56] 啊太慢了，这股票有点太容易了，你知道吧？啊，就无非判断一下趋势嘛。

[01:57 - 02:12] 就是现在我也觉得就是说那这么说。的话其实你有没有感觉，就是说就是今天你怎么看呢？就是今天就是大盘突然一下下午暴涨，现在已经又快逼近4,200点了。

[02:14 - 02:28] 我我给你分析一下啊，嗯，我给你分析一下啊，我认为啊，有有有有四种可能啊。嗯，哼哼哼。但是呢，基本上就是我现在发现，当你说出四种可能的时候，基本上就是说它不是涨就是跌。

[02:29 - 03:17] 啊，但它依然有四种可能啊，嗯就是第一种可能它是确实在高低切换，也就是确实是切某些固定题材的老灯股。嗯，然后上来我认为这个固定题材老根股现目前来看啊是三个。有色嗯证券证券加保险就是非银嗯啊，然后再加上化工。然后其中有色和化工。都是有明确逻辑的，飞银飞银这个我没研究过，我看不懂。嗯，但但但确实今天放量暴涨飞银，而且都是那些体量大的吓人的票子。然后这是这是第一种可能，就是就是高低切，然后科技在拉高出货。

